Library	Sample	Counts_All	Counts_Nuclear	Counts_Mito	Comp_nucl_rA	Comp_nucl_rC	Comp_nucl_rG	Comp_nucl_rU	Freq_nucl_rA	Freq_nucl_rC	Freq_nucl_rG	Freq_nucl_rU	Comp_mito_rA	Comp_mito_rC	Comp_mito_rG	Comp_mito_rU	Freq_mito_rA	Freq_mito_rC	Freq_mito_rG	Freq_mito_rU	pos>1_nucleus/totpos	pos>1_mito/totpos
FS106-BY4742-WT-DES	BY4742-WT	93548	1346	92202	26.74591382	29.79197623	11.06983655	32.3922734	21.40181302	38.40720652	14.27100691	25.91997355	27.87575107	24.60467235	31.89301751	15.62655908	8.787373255	37.57770948	48.70890086	4.926016414	0/31	18/307
FS142-BY4742-WT-HR	BY4742-WT	15442	875	14567	24.57142857	25.25714286	15.08571429	35.08571429	19.71183317	32.64383032	19.49767241	28.1466641	37.81149173	26.21679138	33.56902588	2.402691014	11.46263287	38.50528405	49.30370228	0.72838081		
FS213-BY4742-WT-DES	BY4742-WT	104060	12831	91229	30.47307303	20.75442288	10.99680461	37.77569948	25.52114	28.00384	14.83794	31.63708	39.46332855	33.97384604	20.81794166	5.744883754	12.70351	52.98183	32.46534	1.84932	0.061877607	0.508457629
FS214-BY4742-WT-HR	BY4742-WT	88562	10698	77864	29.57562161	22.67713591	21.74238175	26.00486072	23.26136	28.73509	27.55062	20.45294	46.70194185	28.47529025	18.54130278	6.281465119	16.6343	49.13486	31.99351	2.23733	0.062701613	0.458357471
FS215-BY4742-WT-DES+HR	BY4742-WT	91273	15121	76152	30.93049401	30.42126843	15.06514119	23.58309636	24.20286	38.35132	18.99224	18.45358	41.63777708	32.48765627	20.03099065	5.843576006	13.79146	52.13067	32.14233	1.93554	0.057745579	0.438067338
FS216-BY4742-WT-DES+HR	BY4742-WT (atrnl-)	4998	3915	1083	26.99872286	21.96679438	8.122605364	42.91187739	22.80534	29.89395	11.05381	36.2469	44.50600185	12.37303786	7.663896584	35.45706371	25.13999	33.85907	20.97241	20.02854	0.058823529	0.167264038
FS138-BY4742-Rnh201-KO-DESA	BY4742-rnh201-KO	2376268	2255525	120743	21.1374292	46.58418772	24.98792964	7.290453442	14.70554	52.21441	28.008	5.07205	33.86366083	34.88732266	27.51629494	3.732721566	9.96245	49.7224	39.217	1.09814	0.240551883	0.588976152
FS322-BY4742-Rnh201-KO-HR	BY4742-rnh201-KO	2138472	2038076	100396	22.04230853	40.07166563	31.81741015	6.068615694	15.31443	44.85434	35.61491	4.21632	39.21969003	27.30288059	30.18347345	3.293955934	12.21766	41.20447	45.55175	1.02613	0.255986317	0.630472611
FS208-BY4742-rnh201-G42S-DES	BY4742-rnh201-G42S	1380027	1012023	368004	29.72570781	42.76592528	16.74349298	10.76487392	21.79842	50.52587	19.78163	7.89408	35.55260269	39.80201302	19.08810774	5.557276551	10.89217	59.07451	28.33075	1.70257	0.237493893	0.623007695
FS210-BY4742-rnh201-G42S-HR	BY4742-rnh201-G42S	1917833	1514673	403160	28.59389452	43.7350504	16.9587099	10.71234517	20.85774	51.39805	19.93012	7.81409	36.62739359	37.80310547	19.42529021	6.144210735	11.44547	57.22781	29.40676	1.91997	0.254275223	0.681240768
FS328-BY4742-rnh201-G42S-DESA	BY4742-rnh201-G42S	6256769	4637992	1618777	23.81769956	43.48133848	25.66054448	7.040417491	16.74322	49.24536	29.06219	4.94923	45.0166391	39.26983148	12.12341169	3.590117725	15.12742	63.92973	19.73643	1.20643	0.295357608	0.763134691
FS212-BY4742-rnh203-K46W-HR	BY4742-rnh203-K46W	1537910	264447	1273463	24.56711553	29.8872742	13.94570557	31.59990471	19.37677	37.9784	17.72111	24.92373	39.07486908	35.33616603	19.36035833	6.228606563	12.59331	55.17139	30.2279	2.0074	0.123362462	0.736515979
FS325-BY4742-rnh203-K46W-DESA	BY4742-rnh203-K46W	1914239	121804	1792435	20.43118453	38.79511346	20.66680897	20.10689304	14.98576	45.84431	24.42203	14.7479	39.94314996	39.31707426	16.74654869	3.993227091	12.65872	60.3644	25.71136	1.26553	0.098031585	0.772705024
FS334-BY4742-rnh203-K46W-DESA	BY4742-rnh203-K46W	816638	11610	805028	23.66063738	39.05254091	12.72179156	24.56503015	17.97382	47.79544	15.56989	18.66085	50.47426922	30.47409531	15.02245885	4.029176625	18.36008	53.70163	26.47267	1.46562	628/9994	48708/65833
FS335-BY4742-rnh203-K46W-HR	BY4742-rnh203-K46W	12797637	563190	12234447	17.88330759	36.57859692	29.06283847	16.47525702	12.76343	42.06005	33.41802	11.7585	56.56568703	22.72283332	13.54301506	7.168464582	23.62561	45.97741	27.40295	2.99403	61523/317233	86104/99835
FS336-BY4742-rnh203-K46W-DESA	BY4742-rnh203-K46W	31912910	2817318	29095592	23.92938958	35.67502852	14.15754274	26.23803916	18.34333	44.05894	17.48468	20.11305	52.94921306	24.88108164	14.58839882	7.581306474	21.03314	47.88131	28.07401	3.01154	346946/1514085	95393/107170
FS337-BY4742-rnh203-K46W-HR	BY4742-rnh203-K46W	13445631	891995	12553636	23.38342704	36.08013498	15.71298045	24.82345753	17.76169	44.15374	19.22905	18.85552	55.18068231	23.16606918	14.13942542	7.513823087	22.66871	46.10459	28.13996	3.08674	90785/590800	46265/54144
