Library	Group	RE	Label
FS106	BY4742-WT	DES	FS106-BY4742-WT-DES
FS142	BY4742-WT	HR	FS142-BY4742-WT-HR
FS213	BY4742-WT	DES	FS213-BY4742-WT-DES
FS214	BY4742-WT	HR	FS214-BY4742-WT-HR
FS215	BY4742-WT	DES+HR	FS215-BY4742-WT-DES+HR
FS216	BY4742-WT(atrnl-)	DES+HR	FS216-BY4742-WT(atrnl-)-DES+HR
FS138	BY4742-rnh201-KO	DESA	FS138-BY4742-Rnh201-KO-DESA
FS322	BY4742-rnh201-KO	HR	FS322-BY4742-Rnh201-KO-HR
FS208	BY4742-rnh201-G42S	DES	FS208-BY4742-rnh201-G42S-DES
FS210	BY4742-rnh201-G42S	HR	FS210-BY4742-rnh201-G42S-HR
FS328	BY4742-rnh201-G42S	DESA	FS328-BY4742-rnh201-G42S-DESA
FS212	BY4742-rnh203-K46W	HR	FS212-BY4742-rnh203-K46W-HR
FS325	BY4742-rnh203-K46W	DESA	FS325-BY4742-rnh203-K46W-DESA
FS334	BY4742-rnh203-K46W	DESA	FS334-BY4742-rnh203-K46W-DESA
FS335	BY4742-rnh203-K46W	HR	FS335-BY4742-rnh203-K46W-HR
FS336	BY4742-rnh203-K46W	DESA	FS336-BY4742-rnh203-K46W-DESA
FS337	BY4742-rnh203-K46W	HR	FS337-BY4742-rnh203-K46W-HR

